timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1621589037223,117457,HTTP Request,200,,OCR KTP V5 Validation 1-20,text,true,,4128,665,20,20,https://domain.com/app/v5/ktp_validation,117454,0,429
1621589036633,139735,HTTP Request,200,,OCR KTP V5 Validation 1-8,text,true,,4046,664,19,19,https://domain.com/app/v5/ktp_validation,139735,0,1025
1621589036977,157890,HTTP Request,200,,OCR KTP V5 Validation 1-15,text,true,,3912,666,18,18,https://domain.com/app/v5/ktp_validation,157890,0,666
1621589036590,176887,HTTP Request,200,,OCR KTP V5 Validation 1-7,text,true,,3957,664,17,17,https://domain.com/app/v5/ktp_validation,176887,0,1059
1621589036481,192886,HTTP Request,200,,OCR KTP V5 Validation 1-4,text,true,,3925,664,16,16,https://domain.com/app/v5/ktp_validation,192886,0,1165
1621589037172,200494,HTTP Request,504,Gateway Time-out,OCR KTP V5 Validation 1-18,text,false,,436,665,15,15,https://domain.com/app/v5/ktp_validation,200494,0,479
1621589036827,200842,HTTP Request,504,Gateway Time-out,OCR KTP V5 Validation 1-12,text,false,,436,666,15,15,https://domain.com/app/v5/ktp_validation,200842,0,822
1621589036536,201134,HTTP Request,504,Gateway Time-out,OCR KTP V5 Validation 1-6,text,false,,436,664,15,15,https://domain.com/app/v5/ktp_validation,201133,0,1113
1621589037176,200495,HTTP Request,504,Gateway Time-out,OCR KTP V5 Validation 1-19,text,false,,436,665,15,15,https://domain.com/app/v5/ktp_validation,200495,0,490
1621589036779,200893,HTTP Request,504,Gateway Time-out,OCR KTP V5 Validation 1-11,text,false,,436,666,14,14,https://domain.com/app/v5/ktp_validation,200893,0,872
1621589037026,200647,HTTP Request,504,Gateway Time-out,OCR KTP V5 Validation 1-16,text,false,,436,665,12,12,https://domain.com/app/v5/ktp_validation,200647,0,642
1621589036879,200795,HTTP Request,504,Gateway Time-out,OCR KTP V5 Validation 1-13,text,false,,436,665,12,12,https://domain.com/app/v5/ktp_validation,200795,0,769
1621589036483,201192,HTTP Request,504,Gateway Time-out,OCR KTP V5 Validation 1-1,text,false,,436,775,11,11,https://domain.com/app/v5/ktp_validation,201192,0,1164
1621589036494,201173,HTTP Request,504,Gateway Time-out,OCR KTP V5 Validation 1-5,text,false,,436,665,15,15,https://domain.com/app/v5/ktp_validation,201173,0,1156
1621589036929,200748,HTTP Request,504,Gateway Time-out,OCR KTP V5 Validation 1-14,text,false,,436,666,8,8,https://domain.com/app/v5/ktp_validation,200748,0,717
1621589036686,200988,HTTP Request,504,Gateway Time-out,OCR KTP V5 Validation 1-9,text,false,,436,665,12,12,https://domain.com/app/v5/ktp_validation,200988,0,962
1621589037070,200610,HTTP Request,504,Gateway Time-out,OCR KTP V5 Validation 1-17,text,false,,436,666,5,5,https://domain.com/app/v5/ktp_validation,200610,0,578
1621589036478,201196,HTTP Request,504,Gateway Time-out,OCR KTP V5 Validation 1-2,text,false,,436,664,12,12,https://domain.com/app/v5/ktp_validation,201196,0,1169
1621589036482,201188,HTTP Request,504,Gateway Time-out,OCR KTP V5 Validation 1-3,text,false,,436,664,15,15,https://domain.com/app/v5/ktp_validation,201188,0,1169
1621589036735,200943,HTTP Request,504,Gateway Time-out,OCR KTP V5 Validation 1-10,text,false,,436,666,8,8,https://domain.com/app/v5/ktp_validation,200943,0,910
